City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Palu,ID,86.86,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
646,Mana,GF,75.87,overcast clouds,5.6592,-53.7767,LE SAMANA
652,Barcarena,BR,75.25,overcast clouds,-1.5058,-48.6258,Dos Santos Hotel
666,Koumac,NC,80.92,overcast clouds,-20.5667,164.2833,Le Monitel
667,Le Port,RE,87.8,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
671,Tuy Hoa,VN,75.22,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
672,Denpasar,ID,85.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
677,Byron Bay,AU,75.31,light rain,-28.65,153.6167,Backpackers Inn
678,Namatanai,PG,83.32,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
679,Montepuez,MZ,77.16,light rain,-13.1256,38.9997,PembaAparthotel
685,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
686,Bodden Town,KY,75.99,few clouds,19.2833,-81.25,Will T Place
