City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Chuy,UY,2022-02-05 06:11:54,-33.6971,-53.4616,68.14,94,49,3.83,scattered clouds
81,Lagoa,PT,2022-02-05 06:11:55,39.05,-27.9833,58.41,76,74,20.36,broken clouds
82,New Norfolk,AU,2022-02-05 06:03:23,-42.7826,147.0587,70.88,46,98,1.99,overcast clouds
83,Juneau,US,2022-02-05 06:11:56,58.3019,-134.4197,39.85,97,100,9.31,light snow
84,Waounde,SN,2022-02-05 06:11:57,15.2637,-12.8682,71.11,11,0,8.41,clear sky
85,Fortuna,US,2022-02-05 06:11:57,40.5982,-124.1573,43.93,94,40,0.0,scattered clouds
86,Bafra,TR,2022-02-05 06:11:58,41.5678,35.9069,37.18,60,60,6.96,broken clouds
87,Haines Junction,CA,2022-02-05 06:11:58,60.7522,-137.5108,-13.05,77,100,1.14,overcast clouds
88,Hermanus,ZA,2022-02-05 06:03:31,-34.4187,19.2345,69.8,70,0,19.73,clear sky
89,Carutapera,BR,2022-02-05 06:11:59,-1.195,-46.02,74.95,93,100,4.41,overcast clouds
90,Teofilo Otoni,BR,2022-02-05 06:12:00,-17.8575,-41.5053,70.39,99,100,2.37,overcast clouds
91,Tocopilla,CL,2022-02-05 06:12:00,-22.092,-70.1979,68.47,71,0,4.32,clear sky
92,Dikson,RU,2022-02-05 06:06:14,73.5069,80.5464,-5.57,91,100,7.0,overcast clouds
93,Am Timan,TD,2022-02-05 06:12:01,11.0297,20.2827,66.94,20,13,7.54,few clouds
94,Padang,ID,2022-02-05 06:13:02,-0.9492,100.3543,82.45,82,70,3.67,broken clouds
95,Bud,US,2022-02-05 06:13:03,39.447,-86.1758,20.86,75,91,11.1,overcast clouds
96,Mariental,NA,2022-02-05 06:13:03,-24.6333,17.9667,77.11,33,19,12.88,few clouds
97,Vestmannaeyjar,IS,2022-02-05 06:13:04,63.4427,-20.2734,33.04,79,100,15.61,snow
98,Havelock,US,2022-02-05 06:13:06,34.8791,-76.9013,62.83,94,100,5.99,light rain
99,Mayo,US,2022-02-05 06:13:06,38.8876,-76.5119,34.66,77,100,8.01,overcast clouds
100,Sao Filipe,CV,2022-02-05 06:13:07,14.8961,-24.4956,72.63,71,1,10.36,clear sky
101,Porto Santo,PT,2022-02-05 06:13:08,33.072,-16.3415,62.98,88,40,10.36,scattered clouds
102,Ilulissat,GL,2022-02-05 06:13:08,69.2167,-51.1,8.62,72,20,10.36,few clouds
103,Sistranda,NO,2022-02-05 06:13:09,63.7256,8.834,36.9,83,100,45.61,light snow
104,Ribeira Grande,PT,2022-02-05 06:03:42,38.5167,-28.7,59.29,75,25,4.72,scattered clouds
105,Hede,CN,2022-02-05 06:13:10,33.7681,120.2517,38.77,25,4,14.74,clear sky
106,Georgetown,MY,2022-02-05 06:01:05,5.4112,100.3354,91.33,49,20,3.44,few clouds
107,Pangnirtung,CA,2022-02-05 06:09:43,66.1451,-65.7125,-25.98,99,100,0.56,overcast clouds
108,Itarema,BR,2022-02-05 06:13:12,-2.9248,-39.9167,77.09,86,35,9.64,light rain
109,Bilibino,RU,2022-02-05 06:13:13,68.0546,166.4372,-8.54,90,1,5.39,clear sky
110,Excelsior Springs,US,2022-02-05 06:13:13,39.3392,-94.2261,22.87,57,0,0.0,clear sky
111,Swellendam,ZA,2022-02-05 06:13:14,-34.0226,20.4417,68.38,62,0,8.25,clear sky
112,Saldanha,ZA,2022-02-05 06:13:14,-33.0117,17.9442,65.52,64,2,7.05,clear sky
113,Salalah,OM,2022-02-05 06:11:21,17.0151,54.0924,74.61,65,1,3.15,clear sky
114,Sorland,NO,2022-02-05 06:13:15,67.667,12.6934,33.51,79,97,29.21,snow
115,Alice Springs,AU,2022-02-05 06:08:22,-23.7,133.8833,81.95,26,0,10.36,clear sky
116,Kloulklubed,PW,2022-02-05 06:13:17,7.0419,134.2556,84.7,80,9,18.1,clear sky
117,Edd,ER,2022-02-05 06:13:18,13.9297,41.6925,79.14,69,4,11.36,clear sky
118,Luganville,VU,2022-02-05 06:13:19,-15.5333,167.1667,80.28,85,100,6.87,overcast clouds
119,Victoria,HK,2022-02-05 06:10:52,22.2855,114.1577,65.03,69,77,1.01,broken clouds
120,Jogindarnagar,IN,2022-02-05 06:13:20,31.9833,76.7667,52.5,50,0,4.68,clear sky
121,Dafeng,CN,2022-02-05 06:13:20,23.4517,108.5881,58.06,51,0,5.5,clear sky
122,Maceio,BR,2022-02-05 06:10:03,-9.6658,-35.7353,74.64,83,20,3.44,few clouds
123,Gorontalo,ID,2022-02-05 06:13:21,0.5412,123.0595,84.65,74,96,0.69,overcast clouds
124,Khatanga,RU,2022-02-05 06:13:22,71.9667,102.5,-35.64,100,77,2.42,broken clouds
125,Airai,TL,2022-02-05 06:13:23,-8.9266,125.4092,68.72,82,92,3.27,overcast clouds
126,Porto Novo,BJ,2022-02-05 06:13:24,6.4965,2.6036,78.62,90,5,3.29,clear sky
127,Zhigansk,RU,2022-02-05 06:12:11,66.7697,123.3711,-25.53,98,100,4.72,overcast clouds
128,Tutoia,BR,2022-02-05 06:13:25,-2.7619,-42.2744,76.96,88,100,8.21,light rain
129,Yumen,CN,2022-02-05 06:13:25,40.2833,97.2,21.33,27,100,18.86,overcast clouds
130,Pitimbu,BR,2022-02-05 06:13:26,-7.4706,-34.8086,77.59,73,3,8.72,clear sky
131,Vaini,TO,2022-02-05 06:05:09,-21.2,-175.2,77.16,94,100,9.22,light rain
132,Preobrazheniye,RU,2022-02-05 06:13:27,42.9019,133.9064,15.93,40,2,8.25,clear sky
133,Katsuura,JP,2022-02-05 06:03:46,35.1333,140.3,48.11,37,82,1.7,broken clouds
134,Saurimo,AO,2022-02-05 06:13:28,-9.6608,20.3916,63.59,93,96,3.22,overcast clouds
135,Nemuro,JP,2022-02-05 06:13:31,43.3236,145.575,25.23,61,48,17.45,scattered clouds
136,Lavrentiya,RU,2022-02-05 06:09:02,65.5833,-171.0,-9.9,87,2,8.41,clear sky
137,Deputatskiy,RU,2022-02-05 06:13:33,69.3,139.9,-28.95,99,30,2.84,scattered clouds
138,Lompoc,US,2022-02-05 06:12:50,34.6391,-120.4579,50.52,82,0,3.44,clear sky
139,Khani,GE,2022-02-05 06:14:35,41.9563,42.9566,26.17,95,97,4.5,light snow
140,Provideniya,RU,2022-02-05 06:12:17,64.3833,-173.3,0.48,70,1,10.98,clear sky
141,Vilyuysk,RU,2022-02-05 06:14:36,63.7553,121.6247,-13.81,95,90,3.02,overcast clouds
142,Roma,US,2022-02-05 06:13:10,43.2128,-75.4557,11.03,85,100,6.91,overcast clouds
143,Gladstone,AU,2022-02-05 06:14:37,-23.85,151.25,84.13,48,40,19.57,scattered clouds
144,Sur,OM,2022-02-05 06:14:42,22.5667,59.5289,77.43,30,9,5.97,clear sky
145,Saint-Philippe,RE,2022-02-05 06:14:43,-21.3585,55.7679,87.39,89,100,24.76,moderate rain
